1 繫辭上:	Xi Ci I:
天尊地卑，乾坤定矣。	Heaven is lofty and honourable; earth is low. (Their symbols), Qian and Kun, (with their respective meanings), were determined (in accordance with this). 
卑高以陳，貴賤位矣。	Things low and high appear displayed in a similar relation. The (upper and lower trigrams, and the relative position of individual lines, as) noble and mean, had their places assigned accordingly. 
動靜有常，剛柔斷矣。	Movement and rest are the regular qualities (of their respective subjects). Hence comes the definite distinction (of the several lines) as the strong and the weak. 
方以類聚，物以群分，吉凶生矣。	(Affairs) are arranged together according to their tendencies, and things are divided according to their classes. Hence were produced (the interpretations in the Yi, concerning) what is good [or lucky] and evil [or unlucky]. 
在天成象，在地成形，變化見矣。	In the heavens there are the (different) figures there completed, and on the earth there are the (different) bodies there formed. (Corresponding to them) were the changes and transformations exhibited (in the Yi).
是故，剛柔相摩，八卦相盪。	After this fashion a strong and a weak line were manipulated together (till there were the eight trigrams), and those eight trigrams were added, each to itself and to all the others, (till the sixty-four hexagrams were formed). 
鼓之以雷霆，潤之以風雨，	We have the exciting forces of thunder and lightning; the fertilising influences of wind and rain; 
日月運行，一寒一暑，	and the revolutions of the sun and moon, which give rise to cold and warmth. 
乾道成男，坤道成女。	The attributes expressed by Qian constitute the male; those expressed by Kun constitute the female. 
乾知大始，坤作成物。	Qian (symbolises Heaven, which) directs the great beginnings of things; Kun (symbolises Earth, which) gives to them their completion. 
乾以易知，坤以簡能。	It is by the ease with which it proceeds that Qian directs (as it does), and by its unhesitating response that Kun exhibits such ability.
易則易知，簡則易從。	(He who attains to this) ease (of Heaven) will be easily understood, and (he who attains to this) freedom from laborious effort (of the Earth) will be easily followed. 
易知則有親，易從則有功。	He who is easily understood will have adherents, and he who is easily followed will achieve success. 
有親則可久，有功則可大。	He who has adherents can continue long, and he who achieves success can become great. 
可久則賢人之德，可大則賢人之業。	To be able to continue long shows the virtue of the wise and able man; to be able to become great is the heritage he will acquire. 
易簡，而天下之理得矣；	With the attainment of such ease and such freedom from laborious effort, the mastery is got of all principles under the sky. 
天下之理得，而成位乎其中矣。	With the attainment of that mastery, (the sage) makes good his position in the middle (between heaven and earth).
2 繫辭上:	2 Xi Ci I:
聖人設卦觀象，繫辭焉而明吉凶，	The sages set forth the diagrams, inspected the emblems contained in them, and appended their explanations; - in this way the good fortune and bad (indicated by them) were made clear. 
剛柔相推而生變化。	The strong and the weak (lines) displace each other, and produce the changes and transformations (in the figures).
是故，吉凶者，失得之象也。	Therefore the good fortune and evil (mentioned in the explanations) are the indications of the right and wrong (in men's conduct of affairs), 
悔吝者，懮虞之象也。	and the repentance and regret (similarly mentioned) are the indications of their sorrow and anxiety. 
變化者，進退之象也。	The changes and transformations (of the lines) are the emblems of the advance and retrogression (of the vital force in nature). 
剛柔者，晝夜之象也。	Thus what we call the strong and the weak (lines) become the emblems of day and night. 
六爻之動，三極之道也。	The movements which take place in the six places (of the hexagram) show the course of the three extremes (i. e. of the three Powers in their perfect operation). 
是故，君子所居而安者，易之序也。	Therefore what the superior man rests in, in whatever position he is placed, is the order shown in the Yi; 
所樂而玩者，爻之辭也。	and the study which gives him the greatest pleasure is that of the explanations of the several lines.
是故，君子居則觀其象，而玩其辭；	Therefore the superior man, when living quietly, contemplates the emblems and studies the explanations of them; 
動則觀其變，而玩其占。	when initiating any movement, he contemplates the changes (that are made in divining), and studies the prognostications from them. 
是以自天祐之，吉无不利。	Thus 'is help extended to him from Heaven; there will be good fortune, and advantage in every movement.'
3 繫辭上:	Xi Ci I:
彖者，言乎象者也。	The Tuan speak of the emblematic figures (of the complete diagrams). 
爻者，言乎變者也。	The Yao speak of the changes (taking place: in the several lines). 
