1 有天地，然後萬物生焉。	When there were heaven and earth, then afterwards all things were produced. 
盈天地之間者唯萬物，	What fills up (the space) between heaven and earth are (those) all things. 
故受之以《屯》。	Hence (Qian and Kun) are followed by Zhun.
2 《屯》者，盈也。	Zhun denotes filling up. 
屯者，物之始生也。	Zhun is descriptive of things on their first production. 
物生必蒙，故受之以《蒙》。	When so produced, they are sure to be in an undeveloped condition. Hence Zhun is followed by Meng.
3 《蒙》者，蒙也，物之稺也。	Meng is descriptive of what is undeveloped,--the young of creatures and things. 
物稺不可不養也，故受之以《需》。	These in that state require to be nourished. Hence Meng is followed by Xu.
4 《需》者，飲食之道也。	Xu is descriptive of the way in which meat and drink (come to be supplied). 
飲食必有訟，故受之以《訟》。	Over meat and drink there are sure to be contentions. Hence Xu is followed by Song.
5 訟必有眾起，故受之以《師》。	Song is sure to cause the rising up of the multitudes; and hence it is followed by Shi.
6 《師》者，眾也。	Shi has the signification of multitudes, 
眾必有所比，故受之以《比》。	and between multitudes there must be some bond of union. Hence it is followed by Bi.
7 《比》者，比也。	Bi denotes being attached to. 
比必有所畜，故受之以《小畜》。	(Multitudes in) union must be subjected to some restraint. Hence Bi is followed by Xiao Xu.
8 物畜然後有禮，故受之以《履》。	When things are subjected to restraint, there come to be rites of ceremony, and hence Xiao Xu is followed by Li.
9 履而泰然後安，故受之以《泰》。	The treading (on what is proper) leads to Tai, which issues in a state of freedom and repose, and hence Li is followed by Tai.
10 《泰》者，通也。	Tai denotes things having free course. 
物不可以終通，故受之以《否》。	They cannot have that for ever, and hence it is followed by Pi (denoting being shut up and restricted).
11 物不可以終否，故受之以《同人》。	Things cannot for ever be shut up, and hence Pi is followed by Tong Ren.
12 與人同者，物必歸焉，故受之以《大有》。	To him who cultivates union with men, things must come to belong, and hence Tong Ren is followed by Da You.
13 有大者不可以盈，故受之以《謙》。	Those who, have what is great should not allow in themselves the feeling of being full, and hence Da You is followed by Qian.
14 有大而能謙必豫，故受之以《豫》。	When great possessions are associated with humility, there is sure to be pleasure and satisfaction; and hence Qian is followed by Yu.
15 豫必有隨，故受之以《隨》。	Where such complacency is awakened, (he who causes it) is sure to have followers (Sui).
16 以喜隨人者必有事，故受之以《蠱》。	They who follow another are sure to have services (to perform), and hence Sui is followed by Gu.
17 《蠱》者，事也。	Gu means (the performance of) services. 
有事而後可大，故受之以《臨》。	He who performs such services may afterwards become great, and hence Gu is followed by Lin.
18 《臨》者，大也。	Lin means great. 
物大然後可觀，故受之以《觀》。	What is great draws forth contemplation, and hence Lin is followed by Guan.
19 可觀而後有所合，故受之以《噬嗑》。	He who attracts contemplation will then bring about the union of others with himself, and hence Guan is followed by Shi He.
20 嗑者，合也。	Shi He means union. 
物不可以苟合而已，故受之以《賁》。	But things should not be united in a reckless or irregular way, and hence Shi He is followed by Bi.
21 《賁》者，飾也。	Bi denotes adorning. 
致飾然後亨則盡矣，故受之以《剝》。	When ornamentation has been carried to the utmost, its progress comes to an end; and hence Bi is followed by Po.
22 《剝》者，剝也。	Po denotes decay and overthrow. 
